,Outputs
626,123.19644165039062
627,347.55224609375
628,120.90281677246094
629,125.81510925292969
630,330.14080810546875
631,120.20387268066406
632,304.3503723144531
633,122.29472351074219
634,183.9744415283203
635,459.00848388671875
636,315.41558837890625
637,460.4308776855469
638,224.46755981445312
639,182.66465759277344
640,314.5406799316406
641,206.9403533935547
642,135.7160186767578
643,136.5369110107422
644,364.15643310546875
645,404.6584167480469
646,133.74142456054688
647,285.9241638183594
648,255.02125549316406
649,132.0550537109375
650,133.6138916015625
651,127.46534729003906
652,284.4911193847656
653,438.68365478515625
654,121.40583801269531
655,234.1811065673828
656,121.13206481933594
657,526.0287475585938
658,142.43511962890625
659,196.86061096191406
660,264.77447509765625
661,271.96820068359375
662,128.98985290527344
663,129.8059539794922
664,232.96389770507812
665,310.35345458984375
666,335.2972412109375
667,527.9918823242188
668,377.8945007324219
669,126.14901733398438
670,122.92253112792969
671,215.94288635253906
672,133.02297973632812
673,148.8867645263672
674,121.82040405273438
675,134.48529052734375
676,286.83746337890625
677,262.4997863769531
678,138.7553253173828
679,221.37144470214844
680,129.06687927246094
681,145.48104858398438
682,224.6141815185547
683,149.81971740722656
684,218.4879913330078
685,296.4187927246094
686,253.5563201904297
687,227.3399200439453
688,256.98907470703125
689,150.8640594482422
690,122.22300720214844
691,395.779052734375
692,156.10372924804688
693,409.17938232421875
694,127.13798522949219
695,180.57785034179688
696,122.39204406738281
697,138.900634765625
698,267.7737121582031
699,304.0313415527344
700,301.400146484375
701,342.1162414550781
702,147.65565490722656
703,333.9991149902344
704,170.91546630859375
705,303.3701477050781
706,248.6054229736328
707,263.4616394042969
708,224.33383178710938
709,120.55172729492188
710,315.3365478515625
711,135.47828674316406
712,265.6441345214844
713,130.7458038330078
714,147.30714416503906
715,121.68141174316406
716,151.28695678710938
717,131.94435119628906
718,131.94435119628906
719,127.342041015625
720,129.1120147705078
721,348.04974365234375
722,138.232421875
723,174.64288330078125
724,289.3953857421875
725,341.218994140625
726,123.6158447265625
727,130.78512573242188
728,564.2218627929688
729,230.49623107910156
730,296.1546325683594
731,153.3173065185547
732,121.91242980957031
733,150.09068298339844
734,122.52841186523438
735,269.52679443359375
736,322.9502868652344
737,121.96438598632812
738,183.1284942626953
739,154.81092834472656
740,173.2743682861328
741,131.1699676513672
742,235.9772491455078
743,121.93313598632812
744,243.52117919921875
745,335.8094787597656
746,350.3974609375
747,468.2021789550781
748,291.6334228515625
749,239.71376037597656
750,601.7293090820312
751,122.23640441894531
752,249.84837341308594
753,290.5721740722656
754,284.65509033203125
755,153.0609893798828
756,231.28981018066406
757,555.3121948242188
758,602.0518798828125
759,295.4695129394531
760,338.6537780761719
761,318.5278015136719
762,122.20826721191406
763,519.6874389648438
764,193.89845275878906
765,485.375732421875
766,129.82102966308594
767,319.9654541015625
768,354.41259765625
769,157.31338500976562
770,237.71861267089844
771,137.53656005859375
772,124.2442626953125
773,146.42039489746094
774,122.18869018554688
775,121.59394836425781
776,123.76333618164062
777,183.7770538330078
778,274.583984375
779,516.062255859375
780,153.44703674316406
781,186.30300903320312
782,385.4424743652344
783,268.4052734375
784,130.55795288085938
785,138.66038513183594
786,282.8551940917969
787,123.69509887695312
788,143.4942169189453
789,125.88270568847656
790,177.70115661621094
791,385.388916015625
792,231.63758850097656
793,122.52137756347656
794,254.47511291503906
795,127.85444641113281
796,526.932861328125
797,289.60675048828125
798,255.78077697753906
799,122.85162353515625
800,154.873291015625
801,239.3566436767578
802,127.74806213378906
803,337.5581970214844
804,121.52456665039062
805,489.9893798828125
806,123.57435607910156
807,123.0941162109375
808,331.24267578125
809,369.47222900390625
810,232.5113983154297
811,127.58485412597656
812,526.1854248046875
813,129.34075927734375
814,167.5193328857422
815,121.11985778808594
816,395.4484558105469
817,126.04374694824219
818,133.43490600585938
819,308.3188781738281
820,152.18109130859375
821,159.5357208251953
822,122.89448547363281
823,539.1251831054688
824,133.23443603515625
825,120.8460693359375
826,121.14852905273438
827,169.28280639648438
828,425.1774597167969
829,122.07368469238281
830,397.0804443359375
831,197.21046447753906
832,121.27467346191406
833,160.47706604003906
834,556.1293334960938
835,129.42298889160156
836,122.26316833496094
837,122.89520263671875
838,228.2242889404297
839,211.0614776611328
840,234.17445373535156
841,137.61509704589844
842,125.16484069824219
843,191.5767364501953
844,277.208984375
845,260.4339294433594
846,156.30819702148438
847,145.2191925048828
848,551.9437255859375
849,145.2191925048828
850,145.2191925048828
851,145.2191925048828
852,192.64244079589844
853,130.00892639160156
854,288.6955261230469
855,375.4783020019531
856,120.8359375
857,213.9902801513672
858,357.7919616699219
859,280.73345947265625
860,273.42608642578125
861,337.94970703125
862,119.81253051757812
863,120.86598205566406
864,351.3414611816406
865,126.94264221191406
866,120.035400390625
867,120.12968444824219
868,128.0438995361328
869,122.09713745117188
870,123.1107177734375
871,160.67384338378906
872,292.3441162109375
873,153.64979553222656
874,125.92550659179688
875,120.49330139160156
876,120.28167724609375
877,120.62237548828125
878,121.89244079589844
879,120.02445983886719
880,121.82003784179688
881,136.66387939453125
882,602.194091796875
883,137.0651092529297
884,120.63404846191406
885,555.4902954101562
886,121.52339172363281
887,306.2313232421875
888,128.29075622558594
889,126.40109252929688
890,120.13829040527344
891,120.53709411621094
892,195.38111877441406
893,135.38870239257812
894,127.84260559082031
895,129.53553771972656
896,204.09005737304688
897,441.27606201171875
898,340.4725341796875
899,170.7359161376953
900,121.01167297363281
901,161.8530731201172
902,149.3527069091797
903,130.6713104248047
904,148.49400329589844
905,120.17120361328125
906,120.12443542480469
907,298.57220458984375
908,244.26527404785156
